"BEST.ZCH1_SOLL";"BEST.ZCH2_SOLL";"BEST.ZCH3_SOLL";"BEST.GESAMT_SOLL";"BEST.ZCH1_IST";"BEST.ZCH2_IST";"BEST.ZCH3_IST";"BEST.GESAMT_IST";"BEST.ZFW";"BEST.ZFW_NEW";"BEST.MIN_REL";"INDEX";"CORRECT_ZFW";"ERR_BEST_ZFW";"CORRECT_T1";"ERR_BEST_T1"
5;4;2;11;0;0;1;1;9,5;1;0;155;TRUE;NA;TRUE;NA
5;4;2;11;0;1;1;2;7,75;2;0;462;TRUE;NA;TRUE;NA
5;4;2;11;1;1;1;3;5,95;3;0,2;1150;TRUE;NA;TRUE;NA
5;4;2;11;2;1;1;4;4,55;3,13801118920923;0,25;2026;TRUE;NA;TRUE;NA
5;4;2;11;2;2;1;5;3,3;3,22212995124875;0,4;2842;TRUE;NA;TRUE;NA
5;4;2;11;3;2;1;6;2,3;3,24117703959569;0,5;3936;TRUE;NA;TRUE;NA
5;4;2;11;3;2;2;7;1,8;3,24825300572276;0,5;4793;TRUE;NA;TRUE;NA
5;4;2;11;3;3;2;8;1,05;3,25532897184982;0,6;5717;TRUE;NA;TRUE;NA
5;4;2;11;4;3;2;9;0,45;3,25795768316355;0,75;6681;TRUE;NA;TRUE;NA
5;4;2;11;4;4;2;10;0,2;3,25855290467439;0,8;7401;TRUE;NA;TRUE;NA
5;4;2;11;5;4;2;11;0;3,25891569624889;1;8039;TRUE;NA;TRUE;NA
5;5;1;11;0;0;0;0;11;0;0;68;TRUE;NA;TRUE;NA
5;5;1;11;0;0;1;1;10;1;0;154;TRUE;NA;TRUE;NA
5;5;1;11;0;1;1;2;8,2;2;0;461;TRUE;NA;TRUE;NA
5;5;1;11;1;1;1;3;6,4;3;0,2;1149;TRUE;NA;TRUE;NA
5;5;1;11;1;2;1;4;5;3,13801118920923;0,2;1827;TRUE;NA;TRUE;NA
5;5;1;11;2;2;1;5;3,6;3,27602237841845;0,4;2841;TRUE;NA;TRUE;NA
5;5;1;11;2;3;1;6;2,6;3,2950694667654;0,4;3744;TRUE;NA;TRUE;NA
5;5;1;11;3;3;1;7;1,6;3,31411655511234;0,6;4855;TRUE;NA;TRUE;NA
5;5;1;11;3;4;1;8;1;3,31674526642608;0,6;5763;TRUE;NA;TRUE;NA
5;5;1;11;4;4;1;9;0,4;3,31937397773981;0,8;6726;TRUE;NA;TRUE;NA
5;5;1;11;4;5;1;10;0,2;3,31973676931431;0,8;7425;TRUE;NA;TRUE;NA
5;5;1;11;5;5;1;11;0;3,32009956088881;1;8061;TRUE;NA;TRUE;NA
6;3;2;11;0;0;0;0;11;0;0;67;TRUE;NA;TRUE;NA
6;3;2;11;0;0;1;1;9,5;1;0;153;TRUE;NA;TRUE;NA
6;3;2;11;0;1;1;2;7,83333333333333;2;0;460;TRUE;NA;TRUE;NA
6;3;2;11;1;1;1;3;6;3;0,167;1148;TRUE;NA;TRUE;NA
6;3;2;11;2;1;1;4;4,5;3,19198262038019;0,333;2024;TRUE;NA;TRUE;NA
6;3;2;11;2;2;1;5;3,5;3,22883994690823;0,333;2840;TRUE;NA;TRUE;NA
6;3;2;11;3;2;1;6;2,33333333333333;3,26569727343627;0,5;3934;TRUE;NA;TRUE;NA
6;3;2;11;3;2;2;7;1,83333333333333;3,27277323956333;0,5;4792;TRUE;NA;TRUE;NA
6;3;2;11;4;2;2;8;1;3,27984920569039;0,667;5858;TRUE;NA;TRUE;NA
6;3;2;11;5;2;2;9;0,5;3,28120766820919;0,667;6816;TRUE;NA;TRUE;NA
6;3;2;11;5;3;2;10;0,166666666666667;3,28256613072798;0,833;7491;TRUE;NA;TRUE;NA
6;3;2;11;6;3;2;11;0;3,28282693192203;1;8111;TRUE;NA;TRUE;NA
6;4;1;11;0;0;0;0;11;0;0;66;TRUE;NA;TRUE;NA
6;4;1;11;0;0;1;1;10;1;0;152;TRUE;NA;TRUE;NA
6;4;1;11;0;1;1;2;8,25;2;0;459;TRUE;NA;TRUE;NA
6;4;1;11;1;1;1;3;6,41666666666667;3;0,167;1147;TRUE;NA;TRUE;NA
6;4;1;11;2;1;1;4;4,91666666666667;3,19198262038019;0,25;2023;TRUE;NA;TRUE;NA
